Name, Text, Date, Time
"Text","169",11/24/2016,19:13:19
"Text","170",11/24/2016,19:13:14
"Text","171",11/24/2016,19:13:08
"Text","172",11/24/2016,19:13:05
"Text","176",11/24/2016,19:12:55
"Text","175",11/24/2016,19:12:49
"Text","086",11/24/2016,19:12:46
"Text","087",11/24/2016,19:12:38
"Text","088",11/24/2016,19:12:30
"Text","089",11/24/2016,19:12:24
"Text","090",11/24/2016,19:12:19
"Text","091",11/24/2016,19:12:14
"Text","094",11/24/2016,19:12:07
"Text","096",11/24/2016,19:12:00
"Text","097",11/24/2016,19:11:53
"Text","098",11/24/2016,19:11:41
"Text","099",11/24/2016,19:11:35
"Text","100",11/24/2016,19:11:28
"Text","102",11/24/2016,19:11:20
"Text","103",11/24/2016,19:11:13
"Text","104",11/24/2016,19:11:09
"Text","105",11/24/2016,19:11:00
"Text","106",11/24/2016,19:10:55
"Text","107",11/24/2016,19:10:49
"Text","108",11/24/2016,19:10:43
"Text","109",11/24/2016,19:10:38
"Text","241",11/24/2016,19:10:32
"Text","239",11/24/2016,19:10:25
"Text","113",11/24/2016,19:10:16
"Text","115",11/24/2016,19:10:09
"Text","114",11/24/2016,19:10:01
"Text","116",11/24/2016,19:09:58
"Text","117",11/24/2016,19:09:51
"Text","138",11/24/2016,19:09:47
"Text","120",11/24/2016,19:09:30
"Text","121",11/24/2016,19:09:24
"Text","122",11/24/2016,19:09:17
"Text","123",11/24/2016,19:09:13
"Text","125",11/24/2016,19:09:03
"Text","126",11/24/2016,19:08:50
"Text","127",11/24/2016,19:08:44
"Text","212",11/24/2016,19:08:36
"Text","211",11/24/2016,19:08:30
"Text","209",11/24/2016,19:08:23
"Text","221",11/24/2016,19:08:12
"Text","001",11/24/2016,19:07:56
